split,label,count
train,admiration,15633
train,amusement,11625
train,anger,10195
train,annoyance,28001
train,approval,11773
train,caring,9299
train,confusion,9065
train,curiosity,12466
train,desire,9622
train,disappointment,11363
train,disapproval,10485
train,disgust,7517
train,embarrassment,4369
train,excitement,10333
train,fear,6500
train,gratitude,10486
train,grief,1942
train,joy,13072
train,love,10578
train,nervousness,3580
train,neutral,30763
train,optimism,12053
train,pride,3484
train,realization,9720
train,relief,6918
train,remorse,9168
train,sadness,14295
train,surprise,9258
val,admiration,991
val,amusement,518
val,anger,564
val,annoyance,1002
val,approval,1323
val,caring,433
val,confusion,531
val,curiosity,620
val,desire,284
val,disappointment,666
val,disapproval,840
val,disgust,405
val,embarrassment,200
val,excitement,432
val,fear,214
val,gratitude,527
val,grief,56
val,joy,568
val,love,434
val,nervousness,156
val,neutral,3144
val,optimism,620
val,pride,113
val,realization,725
val,relief,108
val,remorse,166
val,sadness,466
val,surprise,382
test,admiration,991
test,amusement,518
test,anger,564
test,annoyance,1002
test,approval,1323
test,caring,433
test,confusion,531
test,curiosity,620
test,desire,284
test,disappointment,666
test,disapproval,840
test,disgust,405
test,embarrassment,200
test,excitement,432
test,fear,214
test,gratitude,527
test,grief,56
test,joy,568
test,love,434
test,nervousness,156
test,neutral,3144
test,optimism,620
test,pride,113
test,realization,725
test,relief,109
test,remorse,166
test,sadness,466
test,surprise,382
