label,accuracy,precision,recall,f1,auc,support,threshold
admiration,0.9713850700819489,0.799853907962016,0.75,0.7741251325556734,0.9821510872725674,1460,0.5
amusement,0.9873718149657427,0.8467274233637117,0.9133154602323503,0.8787618228718831,0.9933409807152174,1119,0.5
anger,0.9754153419013927,0.7424441524310118,0.6154684095860566,0.6730196545562835,0.97533350996132,918,0.5
annoyance,0.9694594957682146,0.8210361067503925,0.6973333333333334,0.7541456380677721,0.9760401164930472,1500,0.5
approval,0.9679817294344185,0.755700325732899,0.4509232264334305,0.5648204503956178,0.9545176091816342,1029,0.5
caring,0.9812368456405893,0.8179551122194514,0.7061356297093649,0.7579433853264009,0.9812346390974395,929,0.5
confusion,0.9810129416506203,0.7901524032825322,0.7334058759521219,0.7607223476297968,0.9846097304004324,919,0.5
curiosity,0.9757735882853432,0.8100502512562814,0.696027633851468,0.7487227124941942,0.9832881997610442,1158,0.5
desire,0.9879987461376561,0.8676148796498906,0.8436170212765958,0.8554476806903991,0.988315999868706,940,0.5
disappointment,0.9724150284358067,0.7623497997329773,0.5659068384539148,0.6496018202502845,0.9634828844126713,1009,0.5
disapproval,0.9742958219515472,0.7602108036890646,0.5954592363261094,0.6678240740740741,0.970145863400081,969,0.5
disgust,0.977072231427164,0.7484909456740443,0.4901185770750988,0.5923566878980892,0.9723994738214057,759,0.5
embarrassment,0.9878644037436747,0.8687872763419483,0.6806853582554517,0.7633187772925765,0.9805973540716979,642,0.5
excitement,0.981818996014509,0.8312428734321551,0.7386018237082067,0.7821888412017167,0.9827887395587921,987,0.5
fear,0.986297075813891,0.8547105561861521,0.8088077336197637,0.8311258278145696,0.9886291998353695,931,0.5
gratitude,0.9926111683310197,0.9333333333333333,0.9032258064516129,0.9180327868852459,0.9935859270934088,1023,0.5
grief,0.9933276610989208,0.9278350515463918,0.9040178571428571,0.9157716223855286,0.9958774086524043,896,0.5
joy,0.9766244234472258,0.8192307692307692,0.7877218934911243,0.8031674208144797,0.9831325408248486,1352,0.5
love,0.988804800501545,0.8760563380281691,0.8877259752616555,0.8818525519848771,0.992990921642832,1051,0.5
nervousness,0.9875061573597241,0.8568376068376068,0.6541598694942904,0.7419056429232193,0.9757958944903582,613,0.5
neutral,0.9525323541265506,0.8985750209555742,0.5330681253107906,0.6691635455680399,0.9499808875985231,2011,0.5
optimism,0.9843715015001567,0.8909444985394352,0.7942708333333334,0.8398347865993575,0.9864571201294783,1152,0.5
pride,0.9928798531189825,0.9864603481624759,0.770392749244713,0.8651399491094147,0.9848209235380042,662,0.5
realization,0.975594465093368,0.8270440251572327,0.5473465140478668,0.6587351283656857,0.9635825505427633,961,0.5
relief,0.9835206663382742,0.8302808302808303,0.7480748074807481,0.7870370370370371,0.9844247285339122,909,0.5
remorse,0.9933724418969146,0.9434589800443459,0.8976793248945147,0.92,0.9928622958693281,948,0.5
sadness,0.9750123147194483,0.8403547671840355,0.768762677484787,0.8029661016949152,0.9799761239487229,1479,0.5
surprise,0.9823563655904348,0.8191489361702128,0.7419700214132763,0.7786516853932585,0.9842614871563876,934,0.5
