label,accuracy,precision,recall,f1,auc,support,threshold
admiration,0.9695042765662084,0.7527579493835171,0.7945205479452054,0.773075641452849,0.9821510872725674,1460,0.4000000059604645
amusement,0.9877748421476871,0.8609215017064846,0.9016979445933869,0.8808380619816674,0.9933409807152174,1119,0.550000011920929
anger,0.9748779723254668,0.7163636363636363,0.6437908496732027,0.6781411359724613,0.97533350996132,918,0.44999998807907104
annoyance,0.969101249384264,0.8017883755588674,0.7173333333333334,0.757213230119634,0.9760401164930472,1500,0.44999998807907104
approval,0.9649366351708387,0.6378923766816144,0.5529640427599611,0.5923997917751171,0.9545176091816342,1029,0.30000001192092896
caring,0.9806546952666697,0.7782754759238522,0.7481162540365985,0.7628979143798024,0.9812346390974395,929,0.4000000059604645
confusion,0.9802068872867314,0.762954796030871,0.7529923830250272,0.7579408543263965,0.9846097304004324,919,0.44999998807907104
curiosity,0.9754153419013927,0.7730941704035874,0.7443868739205527,0.7584689837219534,0.9832881997610442,1158,0.4000000059604645
desire,0.9884465541175944,0.9049881235154394,0.8106382978723404,0.8552188552188552,0.988315999868706,940,0.6499999761581421
disappointment,0.9721463436478438,0.7391841779975278,0.5926660059464817,0.6578657865786579,0.9634828844126713,1009,0.44999998807907104
disapproval,0.9690564685862703,0.6299065420560748,0.695562435500516,0.6611083864639529,0.970145863400081,969,0.25
disgust,0.9741166987595719,0.6218034993270525,0.6086956521739131,0.6151797603195739,0.9723994738214057,759,0.30000001192092896
embarrassment,0.9876404997537056,0.8546511627906976,0.6869158878504673,0.7616580310880829,0.9805973540716979,642,0.44999998807907104
excitement,0.9806546952666697,0.7881619937694704,0.7689969604863222,0.7784615384615384,0.9827887395587921,987,0.4000000059604645
fear,0.986073171823922,0.8429203539823009,0.8184747583243824,0.8305177111716622,0.9886291998353695,931,0.44999998807907104
gratitude,0.9929246339169764,0.9528795811518325,0.8895405669599218,0.9201213346814965,0.9935859270934088,1023,0.6499999761581421
grief,0.9929694147149702,0.9128491620111732,0.9118303571428571,0.9123394751535455,0.9958774086524043,896,0.4000000059604645
joy,0.9766244234472258,0.8192307692307692,0.7877218934911243,0.8031674208144797,0.9831325408248486,1352,0.5
love,0.989028704491514,0.9046184738955824,0.857278782112274,0.8803126526624329,0.992990921642832,1051,0.6499999761581421
nervousness,0.9876404997537056,0.8703296703296703,0.6460032626427407,0.7415730337078652,0.9757958944903582,613,0.550000011920929
neutral,0.9498455062469213,0.75736568457539,0.65191447041273,0.7006948156066275,0.9499808875985231,2011,0.20000000298023224
optimism,0.9836997895302494,0.8601462522851919,0.8168402777777778,0.8379341050756901,0.9864571201294783,1152,0.4000000059604645
pride,0.9927902915229949,0.9883040935672515,0.7658610271903323,0.8629787234042553,0.9848209235380042,662,0.6000000238418579
realization,0.9760422730733062,0.8227272727272728,0.5650364203954215,0.6699568167797656,0.9635825505427633,961,0.44999998807907104
relief,0.9834758855402803,0.8146853146853147,0.768976897689769,0.7911714770797963,0.9844247285339122,909,0.44999998807907104
remorse,0.9932380995029332,0.9298813376483279,0.9092827004219409,0.9194666666666667,0.9928622958693281,948,0.4000000059604645
sadness,0.9742510411535533,0.8087431693989071,0.8005409060175794,0.8046211348963642,0.9799761239487229,1479,0.4000000059604645
surprise,0.9823563655904348,0.8191489361702128,0.7419700214132763,0.7786516853932585,0.9842614871563876,934,0.5
