label,accuracy,precision,recall,f1,auc,support,threshold
admiration,0.8991977677014301,0.761723700887199,0.6064581231079718,0.6752808988764045,0.9113459039855432,991,0.5
amusement,0.959190791768399,0.8756613756613757,0.638996138996139,0.7388392857142857,0.9068003558992823,518,0.5
anger,0.9225671433554238,0.6530612244897959,0.45390070921985815,0.5355648535564853,0.8993029548541092,564,0.5
annoyance,0.8416463201953261,0.5727554179566563,0.36926147704590817,0.44902912621359226,0.837935498403025,1002,0.5
approval,0.7877572375305197,0.5734072022160664,0.3129251700680272,0.40488997555012224,0.7542435397796994,1323,0.5
caring,0.9316358562957796,0.5638629283489096,0.418013856812933,0.48010610079575594,0.8798342114194324,433,0.5
confusion,0.9164632019532613,0.5467625899280576,0.5725047080979284,0.5593376264949402,0.9052480587579309,531,0.5
curiosity,0.9333798395535403,0.7203703703703703,0.6274193548387097,0.6706896551724137,0.9138697377218767,620,0.5
desire,0.9619811649808162,0.7171052631578947,0.38380281690140844,0.5,0.8634342292285825,284,0.5
disappointment,0.8930938262992675,0.6108786610878661,0.21921921921921922,0.32265193370165746,0.8302190805643845,666,0.5
disapproval,0.8693756539937216,0.581981981981982,0.38452380952380955,0.46308243727598564,0.8442540185260863,840,0.5
disgust,0.9332054412277642,0.539568345323741,0.37037037037037035,0.43923865300146414,0.8891624908200877,405,0.5
embarrassment,0.968608301360307,0.7380952380952381,0.155,0.256198347107438,0.8203731478135163,200,0.5
excitement,0.9312870596442274,0.625,0.2199074074074074,0.3253424657534247,0.8478980678150803,432,0.5
fear,0.9719218695500523,0.6962962962962963,0.4392523364485981,0.5386819484240688,0.9211347013409183,214,0.5
gratitude,0.9600627833972794,0.8900523560209425,0.6451612903225806,0.7480748074807481,0.9492044536456361,527,0.5
grief,0.9891873038018835,0.3333333333333333,0.10714285714285714,0.16216216216216217,0.867835757057314,56,0.5
joy,0.9241367282874084,0.7058823529411765,0.4014084507042254,0.5117845117845118,0.876486902444477,568,0.5
love,0.9700034879665155,0.8579234972677595,0.7235023041474654,0.785,0.9628330145204764,434,0.5
nervousness,0.9733170561562609,0.5365853658536586,0.14102564102564102,0.2233502538071066,0.8290870268729718,156,0.5
neutral,0.7281130101151029,0.7859978347167088,0.6927480916030534,0.7364327979712595,0.8060196169451894,3144,0.5
optimism,0.9094872689222183,0.6711864406779661,0.3193548387096774,0.43278688524590164,0.8347788171622491,620,0.5
pride,0.9801185908615277,0.4666666666666667,0.061946902654867256,0.109375,0.7552383366421431,113,0.5
realization,0.8692012556679456,0.4551971326164875,0.17517241379310344,0.25298804780876494,0.743674764733824,725,0.5
relief,0.9780258109522149,0.36065573770491804,0.2018348623853211,0.25882352941176473,0.8445626911314985,109,0.5
remorse,0.9832577607254971,0.8125,0.5481927710843374,0.6546762589928058,0.9319313893505055,166,0.5
sadness,0.9377397976979421,0.7026022304832714,0.4055793991416309,0.5142857142857142,0.8896320320927065,466,0.5
surprise,0.9464597139867458,0.6436781609195402,0.4397905759162304,0.5225505443234837,0.8630760923156386,382,0.5
