label,accuracy,precision,recall,f1,auc,support,threshold
admiration,0.8981513777467737,0.7448856799037304,0.6246215943491423,0.6794731064763996,0.9113459039855432,991,0.44999998807907104
amusement,0.959190791768399,0.8756613756613757,0.638996138996139,0.7388392857142857,0.9068003558992823,518,0.5
anger,0.9033833275200558,0.5073313782991202,0.6134751773049646,0.5553772070626003,0.8993029548541092,564,0.30000001192092896
annoyance,0.8104290198814091,0.46787603930461075,0.6177644710578842,0.5324731182795699,0.837935498403025,1002,0.30000001192092896
approval,0.7120683641437042,0.4188118811881188,0.6394557823129252,0.5061322165719414,0.7542435397796994,1323,0.25
caring,0.9241367282874084,0.49759615384615385,0.4780600461893764,0.4876325088339223,0.8798342114194324,433,0.4000000059604645
confusion,0.9133240320892919,0.5275974025974026,0.6120527306967984,0.5666957279860506,0.9052480587579309,531,0.44999998807907104
curiosity,0.9271014998256016,0.6502976190476191,0.7048387096774194,0.6764705882352942,0.9138697377218767,620,0.30000001192092896
desire,0.9557028252528775,0.5657894736842105,0.45422535211267606,0.50390625,0.8634342292285825,284,0.30000001192092896
disappointment,0.8303104290198814,0.3574744661095636,0.5780780780780781,0.44176706827309237,0.8302190805643845,666,0.20000000298023224
disapproval,0.8229856993372864,0.4288039056143206,0.6273809523809524,0.5094248429192847,0.8442540185260863,840,0.25
disgust,0.9066968957098012,0.38515901060070673,0.5382716049382716,0.4490216271884655,0.8891624908200877,405,0.30000001192092896
embarrassment,0.9600627833972794,0.39097744360902253,0.26,0.3123123123123123,0.8203731478135163,200,0.25
excitement,0.9021625392396233,0.381651376146789,0.48148148148148145,0.4257932446264074,0.8478980678150803,432,0.20000000298023224
fear,0.9698290896407394,0.615819209039548,0.5093457943925234,0.5575447570332481,0.9211347013409183,214,0.3499999940395355
gratitude,0.9576212068364144,0.8317757009345794,0.6755218216318786,0.7455497382198953,0.9492044536456361,527,0.4000000059604645
grief,0.9775026159748866,0.1588785046728972,0.30357142857142855,0.2085889570552147,0.867835757057314,56,0.15000000596046448
joy,0.8887338681548657,0.45345744680851063,0.6003521126760564,0.5166666666666667,0.876486902444477,568,0.20000000298023224
love,0.9661667247994419,0.7690582959641256,0.7903225806451613,0.7795454545454545,0.9628330145204764,434,0.25
nervousness,0.9630275549354727,0.3,0.2692307692307692,0.28378378378378377,0.8290870268729718,156,0.20000000298023224
neutral,0.7218346703871643,0.692613777667247,0.8858142493638677,0.7773900907187719,0.8060196169451894,3144,0.25
optimism,0.8981513777467737,0.536144578313253,0.4306451612903226,0.4776386404293381,0.8347788171622491,620,0.30000001192092896
pride,0.9755842343913499,0.22448979591836735,0.09734513274336283,0.13580246913580246,0.7552383366421431,113,0.30000001192092896
realization,0.8038018835019184,0.30544747081712065,0.43310344827586206,0.3582430119794638,0.743674764733824,725,0.25
relief,0.9532612486920126,0.19066147859922178,0.44954128440366975,0.2677595628415301,0.8445626911314985,109,0.10000000149011612
remorse,0.9832577607254971,0.8125,0.5481927710843374,0.6546762589928058,0.9319313893505055,166,0.5
sadness,0.927973491454482,0.5562632696390658,0.5622317596566524,0.5592315901814301,0.8896320320927065,466,0.25
surprise,0.9426229508196722,0.5841269841269842,0.4816753926701571,0.5279770444763271,0.8630760923156386,382,0.4000000059604645
